Name,Sport,Year,Class_Year,Position,Hometown,High_School,Height,Weight,Source_URL
Conor McCabe,Baseball,2010,Fr.,OF,"Centennial, Colo.",Cherry Creek HS,5-10,160,https://cornellbigred.com/sports/baseball/roster/2010
Cooper Smith,Baseball,2010,Fr.,INF/OF,"Montgomery, Texas",Second Baptist HS,5-11,175,https://cornellbigred.com/sports/baseball/roster/2010
Corey Pappel,Baseball,2010,Jr.,RHP,"Mississauga, Ontario",The Woodlands School,6-6,225,https://cornellbigred.com/sports/baseball/roster/2010
Dan Lea,Baseball,2010,Jr.,RHP,"Allentown, Pa.",Salisbury HS,6-1,185,https://cornellbigred.com/sports/baseball/roster/2010
David Rochefort,Baseball,2010,Sr.,RHP,"Arcadia, Calif.",Loyola HS,6-1,200,https://cornellbigred.com/sports/baseball/roster/2010
Frank Hager,Baseball,2010,So.,IF,"Berkeley Heights, N.J.",Delbarton School,6-2,190,https://cornellbigred.com/sports/baseball/roster/2010
Jadd Schmeltzer,Baseball,2010,Jr.,1B/RHP,"Tappan, N.Y.",Bergen Catholic HS,6-5,245,https://cornellbigred.com/sports/baseball/roster/2010
Jerry Vitiello,Baseball,2010,Sr.,IF,"Yonkers, N.Y.",Regis HS,5-11,190,https://cornellbigred.com/sports/baseball/roster/2010
Joe Sinopoli,Baseball,2010,Fr.,RHP,"Manlius, N.Y.",Fayetteville-Manlius HS,6-2,175,https://cornellbigred.com/sports/baseball/roster/2010
Kyle Groth,Baseball,2010,Sr.,OF,"Delray Beach, Fla.",Pope John Paul II HS,6-3,205,https://cornellbigred.com/sports/baseball/roster/2010
Marshall Yanzick,Baseball,2010,So.,IF,"Beaverton, Ore.",Jesuit HS,6-2,185,https://cornellbigred.com/sports/baseball/roster/2010
Matt Hill,Baseball,2010,Sr.,LHP,"Export, Pa.",Franklin Regional,6-1,180,https://cornellbigred.com/sports/baseball/roster/2010
Matt Langseth,Baseball,2010,Sr.,IF,"San Ramon, Calif.",California HS,5-11,170,https://cornellbigred.com/sports/baseball/roster/2010
Mickey Brodsky,Baseball,2010,Jr.,1B/OF/LHP,"Encino, Calif.",Cleveland HS,6-0,195,https://cornellbigred.com/sports/baseball/roster/2010
Mike Carroll,Baseball,2010,Jr.,LHP,"Glenmont, N.Y.",Bethlehem Central HS,5-9,175,https://cornellbigred.com/sports/baseball/roster/2010
Mike Kazley,Baseball,2010,Fr.,RHP,"Rochester, N.Y.",McQuaid Jesuit HS,6-2,190,https://cornellbigred.com/sports/baseball/roster/2010
Mike Lopez,Baseball,2010,Jr.,C,"Boynton Beach, Fla.",Atlantic Community HS,5-10,190,https://cornellbigred.com/sports/baseball/roster/2010
Nate David,Baseball,2010,Sr.,OF,"Atlanta, Ga.",Woodward Academy,6-1,185,https://cornellbigred.com/sports/baseball/roster/2010
Patrick Lewicki,Baseball,2010,So.,RHP,"Los Gatos, Calif.",Bellarmine College Prep,6-1,190,https://cornellbigred.com/sports/baseball/roster/2010
Phil Mullan,Baseball,2010,Fr.,C/IF,"Torrance, Calif.",St. John Bosco HS,6-0,185,https://cornellbigred.com/sports/baseball/roster/2010
Rick Marks,Baseball,2010,So.,RHP,"Big Flats, N.Y.",Deerfield Academy,6-2,190,https://cornellbigred.com/sports/baseball/roster/2010
Ryan Michael,Baseball,2010,Sr.,INF,"San Jose, Calif.",Leigh HS,6-0,215,https://cornellbigred.com/sports/baseball/roster/2010
Spenser  Souza,Baseball,2010,Fr.,OF,"Castaic, Calif.",Hart HS,6-0,178,https://cornellbigred.com/sports/baseball/roster/2010
Taylor Wood,Baseball,2010,Jr.,RHP,"Windham, N.H.",Bishop Guertin HS,6-4,210,https://cornellbigred.com/sports/baseball/roster/2010
Tony Bertucci,Baseball,2010,Sr.,RHP,"Belleville, Ill.",St. Louis University HS,6-4,185,https://cornellbigred.com/sports/baseball/roster/2010
Tony Tschosik,Baseball,2010,Fr.,RHP,"Palm Beach Gardens, Fla.",Palm Beach Gardens HS,6-3,175,https://cornellbigred.com/sports/baseball/roster/2010
Vince Russomagno,Baseball,2010,Fr.,OF,"Wilmington, Del.",Episcopal Academy,6-1,195,https://cornellbigred.com/sports/baseball/roster/2010
Ali Hamed,Baseball,2011,Fr.,OF,"Agoura Hills, Calif.",Agoura HS,5-10,175,https://cornellbigred.com/sports/baseball/roster/2011
Anthony Irigoyen,Baseball,2011,So.,RHP/IF,"Naples, Fla.",Palmetto Ridge HS,6-0,175,https://cornellbigred.com/sports/baseball/roster/2011
Ben Swinford,Baseball,2011,Fr.,IF/OF,"Lake Oswego, Ore.",Lakeridge HS,6-0,185,https://cornellbigred.com/sports/baseball/roster/2011
