Name,Sport,Year,Class_Year,Position,Hometown,High_School,Height,Weight,Source_URL
"Chis, Sinziana",Womens Tennis,2010,Sr.,N/A,"Vancouver, B.C.",N/A,5-2,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2010-11
"Comolli, Kelly",Womens Tennis,2010,Fr.,N/A,"Newburyport, Mass.",N/A,5-8,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2010-11
"Comolli, Shannon",Womens Tennis,2010,Fr.,N/A,"Newburyport, Mass.",N/A,5-7,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2010-11
"Dumitrescu, Ruxandra",Womens Tennis,2010,Sr.,N/A,"Cortland Manor, N.Y.",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2010-11
"Kaufman, Elizabeth",Womens Tennis,2010,Fr.,N/A,"Potomac, Md.",N/A,5-8,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2010-11
"Kohagen, Kirsten",Womens Tennis,2010,So.,N/A,"Raleigh, N.C.",N/A,5-7,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2010-11
"O'Neil, Sarah",Womens Tennis,2010,So.,N/A,"Lynnfield, Mass.",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2010-11
"Ordway, Christine",Womens Tennis,2010,So.,N/A,"Falmouth, Maine",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2010-11
"Seyburn, Leah",Womens Tennis,2010,Sr.,N/A,"Roslyn Heights, N.Y.",N/A,5-8,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2010-11
"Young, Ryann",Womens Tennis,2010,Fr.,N/A,"Northbrook, Ill.",N/A,5-4,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2010-11
"Frazier, Lauren",Womens Tennis,2011,Fr.,N/A,"Greenville, N.C.",N/A,5-8,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2011-12
"Kohagen, Kirsten",Womens Tennis,2011,Jr.,N/A,"Raleigh, N.C.",N/A,5-7,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2011-12
"Li, Rosemary",Womens Tennis,2011,Fr.,N/A,"Briarcliff, N.Y.",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2011-12
"Malinchak, Courtney",Womens Tennis,2011,Fr.,N/A,"Parkland, Fla.",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2011-12
"Mehrabyan, Lusiné",Womens Tennis,2011,So.,N/A,"Yerevan, Armenia",N/A,5-3,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2011-12
"O'Neil, Sarah",Womens Tennis,2011,Jr.,N/A,"Lynnfield, Mass.",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2011-12
"Ordway, Christine",Womens Tennis,2011,Jr.,N/A,"Falmouth, Maine",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2011-12
"Perelman, Sara",Womens Tennis,2011,Fr.,N/A,"Pittsburgh, Pa.",N/A,5-4,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2011-12
"Sullivan, Gabby",Womens Tennis,2011,Fr.,N/A,"Brooklyn, N.Y.",N/A,5-4,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2011-12
"Turudic, Nina",Womens Tennis,2011,Fr.,N/A,"Zagreb, Croatia",N/A,5-7,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2011-12
"Young, Ryann",Womens Tennis,2011,So.,N/A,"Northbrook, Ill.",N/A,5-4,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2011-12
"Frazier, Lauren",Womens Tennis,2012,So.,N/A,"Greenville, N.C.",N/A,5-8,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2012-13
"Judeh, Laila",Womens Tennis,2012,Fr.,N/A,"Potomac, Md.",N/A,5-2,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2012-13
"Kohagen, Kirsten",Womens Tennis,2012,Sr.,N/A,"Raleigh, N.C.",N/A,5-7,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2012-13
"Kung, Christy",Womens Tennis,2012,Fr.,N/A,"Pembroke Pines, Fla.",N/A,5-10,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2012-13
"Malinchak, Courtney",Womens Tennis,2012,So.,N/A,"Parkland, Fla.",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2012-13
"O'Neil, Sarah",Womens Tennis,2012,Sr.,N/A,"Lynnfield, Mass.",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2012-13
"Ordway, Christine",Womens Tennis,2012,Sr.,N/A,"Falmouth, Maine",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2012-13
"Perelman, Sara",Womens Tennis,2012,So.,N/A,"Pittsburgh, Pa.",N/A,5-4,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2012-13
"Tanenbaum, Dena",Womens Tennis,2012,Fr.,N/A,"Manasquan, N.J.",N/A,5-5,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2012-13
"Young, Ryann",Womens Tennis,2012,Jr.,N/A,"Northbrook, Ill.",N/A,5-4,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2012-13
"Comolli, Shannon",Womens Tennis,2013,Sr.,N/A,"Newburyport, Mass.",N/A,5-7,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2013-14
"Cusick, Marika",Womens Tennis,2013,Fr.,N/A,"Hinsdale, Ill.",N/A,5-4,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2013-14
"D'Ascenzo, Alexandra",Womens Tennis,2013,Fr.,N/A,"West Bloomfield, Mich.",N/A,5-4,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2013-14
"Frazier, Lauren",Womens Tennis,2013,Jr.,N/A,"Greenville, N.C.",N/A,5-8,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2013-14
"Judeh, Laila",Womens Tennis,2013,So.,N/A,"Potomac, Md.",N/A,5-2,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2013-14
"Kung, Christy",Womens Tennis,2013,So.,N/A,"Pembroke Pines, Fla.",N/A,5-10,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2013-14
"Kutnick, Kyja",Womens Tennis,2013,Fr.,N/A,"Redding, Conn.",N/A,5-8,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2013-14
"Malinchak, Courtney",Womens Tennis,2013,Jr.,N/A,"Parkland, Fla.",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2013-14
"Quill, Kristin",Womens Tennis,2013,Fr.,N/A,"Nanuet, N.Y.",N/A,-,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2013-14
"Tanenbaum, Dena",Womens Tennis,2013,So.,N/A,"Manasquan, N.J.",N/A,5-5,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2013-14
"Young, Ryann",Womens Tennis,2013,Sr.,N/A,"Northbrook, Ill.",N/A,5-4,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2013-14
"Cusick, Marika",Womens Tennis,2014,So.,N/A,"Hinsdale, Ill.",N/A,5-4,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2014-15
"D'Ascenzo, Alexandra",Womens Tennis,2014,So.,N/A,"West Bloomfield, Mich.",N/A,5-4,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2014-15
"Hanlon, Allegra",Womens Tennis,2014,Fr.,N/A,"Key Biscayne, Fla.",N/A,5-5,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2014-15
"Quill, Kristin",Womens Tennis,2014,So.,N/A,"Nanuet, N.Y.",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2014-15
"Shah, Priyanka",Womens Tennis,2014,Fr.,N/A,"Somerset, N.J.",N/A,5-5,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2014-15
"Stevens, Madison",Womens Tennis,2014,Fr.,N/A,"Mendham, N.J.",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2014-15
"Stewart, Jane",Womens Tennis,2014,Jr.,N/A,"New York, NY",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2014-15
"Stewart, Lizzie",Womens Tennis,2014,Fr.,N/A,"Oakton, Va.",N/A,5-5,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2014-15
"Tanenbaum, Dena",Womens Tennis,2014,Jr.,N/A,"Manasquan, N.J.",N/A,5-5,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2014-15
"Cusick, Marika",Womens Tennis,2015,Jr.,N/A,"Hinsdale, Ill.",N/A,5-4,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2015-16
"D'Ascenzo, Alexandra",Womens Tennis,2015,Jr.,N/A,"West Bloomfield, Mich.",N/A,5-4,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2015-16
"Hanlon, Allegra",Womens Tennis,2015,So.,N/A,"Key Biscayne, Fla.",N/A,5-5,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2015-16
"Iinuma, Mariko",Womens Tennis,2015,Fr.,N/A,"San Mateo, Calif.",N/A,5-7,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2015-16
"Quill, Kristin",Womens Tennis,2015,Jr.,N/A,"Nanuet, N.Y.",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2015-16
"Shah, Priyanka",Womens Tennis,2015,So.,N/A,"Somerset, N.J.",N/A,5-5,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2015-16
"Stevens, Madison",Womens Tennis,2015,So.,N/A,"Mendham, N.J.",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2015-16
"Stewart, Jane",Womens Tennis,2015,Sr.,N/A,"New York, NY",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2015-16
"Stewart, Lizzie",Womens Tennis,2015,So.,N/A,"Oakton, Va.",N/A,5-5,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2015-16
"Tanenbaum, Dena",Womens Tennis,2015,Sr.,N/A,"Manasquan, N.J.",N/A,5-5,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2015-16
"Wang, Michelle",Womens Tennis,2015,Fr.,N/A,"Sammamish, Wash.",N/A,5-4,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2015-16
"Cusick, Marika",Womens Tennis,2016,Sr.,N/A,"Hinsdale, Ill.",N/A,5-4,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2016-17
"D'Ascenzo, Alexandra",Womens Tennis,2016,Sr.,N/A,"West Bloomfield, Mich.",N/A,5-4,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2016-17
"Dua, Ananya",Womens Tennis,2016,Fr.,N/A,"Pittsburgh, Pa.",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2016-17
"Hanlon, Allegra",Womens Tennis,2016,Jr.,N/A,"Key Biscayne, Fla.",N/A,5-5,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2016-17
"Iinuma, Mariko",Womens Tennis,2016,So.,N/A,"San Mateo, Calif.",N/A,5-7,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2016-17
"Perez de la Llave, Maria",Womens Tennis,2016,Fr.,N/A,"Madrid, Spain",N/A,5-4,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2016-17
"Salakaia, Mariam",Womens Tennis,2016,Fr.,N/A,"Falls Church, Va.",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2016-17
"Shah, Priyanka",Womens Tennis,2016,Jr.,N/A,"Somerset, N.J.",N/A,5-5,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2016-17
"Stevens, Madison",Womens Tennis,2016,Jr.,N/A,"Mendham, N.J.",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2016-17
"Stewart, Lizzie",Womens Tennis,2016,Jr.,N/A,"Oakton, Va.",N/A,5-5,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2016-17
"Wang, Michelle",Womens Tennis,2016,So.,N/A,"Sammamish, Wash.",N/A,5-4,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2016-17
"Dua, Ananya",Womens Tennis,2017,So.,N/A,"Pittsburgh, Pa.",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2017-18
"Elhom, Ana",Womens Tennis,2017,Fr.,N/A,"Potomac, Md.",N/A,5-5,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2017-18
"Iinuma, Mariko",Womens Tennis,2017,Jr.,N/A,"San Mateo, Calif.",N/A,5-7,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2017-18
"Lilienthal, Cheyenne",Womens Tennis,2017,Fr.,N/A,"Land O' Lakes, Fla.",N/A,5-10,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2017-18
"Shah, Priyanka",Womens Tennis,2017,Sr.,N/A,"Somerset, N.J.",N/A,5-5,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2017-18
"Stevens, Madison",Womens Tennis,2017,Sr.,N/A,"Mendham, N.J.",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2017-18
"Wang, Michelle",Womens Tennis,2017,Jr.,N/A,"Sammamish, Wash.",N/A,5-4,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2017-18
"Adiaconitei, Maria",Womens Tennis,2018,Fr.,N/A,"Bethesda, Md.",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2018-19
"Campbell, Sarah",Womens Tennis,2018,Fr.,N/A,"Sudbury, Mass.",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2018-19
"Ho, Valerie",Womens Tennis,2018,Fr.,N/A,"Silver Spring, Md.",N/A,5-5,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2018-19
"Iinuma, Mariko",Womens Tennis,2018,Sr.,N/A,"San Mateo, Calif.",N/A,5-7,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2018-19
"Nguyen, Katherine",Womens Tennis,2018,Fr.,N/A,"Fountain Valley, Calif.",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2018-19
"Pryce, Khary",Womens Tennis,2018,Fr.,N/A,"Ellicott City, Md.",N/A,6-0,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2018-19
"Adiaconitei, Maria",Womens Tennis,2019,So.,N/A,"Bethesda, Md.",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2019-20
"Campbell, Sarah",Womens Tennis,2019,So.,N/A,"Sudbury, Mass.",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2019-20
"Deng, Michelle",Womens Tennis,2019,Fr.,N/A,"Temple City, Calif.",N/A,5-7,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2019-20
"El Ashram, Fatima",Womens Tennis,2019,Fr.,N/A,"Zamalek, Cairo, Egypt",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2019-20
"Ho, Valerie",Womens Tennis,2019,So.,N/A,"Silver Spring, Md.",N/A,5-5,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2019-20
"Huang, Ashley",Womens Tennis,2019,Fr.,N/A,"Wexford, Pa.",N/A,5-10,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2019-20
"Nguyen, Katherine",Womens Tennis,2019,So.,N/A,"Fountain Valley, Calif.",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2019-20
"Polnet, Megan",Womens Tennis,2019,Fr.,N/A,"Churchville, Pa.",N/A,5-11,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2019-20
"Pryce, Khary",Womens Tennis,2019,So.,N/A,"Ellicott City, Md.",N/A,6-0,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2019-20
"Adiaconitei, Maria",Womens Tennis,2020,Jr.,N/A,"Bethesda, Md.",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2020-21
"Campbell, Sarah",Womens Tennis,2020,Jr.,N/A,"Sudbury, Mass.",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2020-21
"Deng, Michelle",Womens Tennis,2020,So.,N/A,"Temple City, Calif.",N/A,5-7,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2020-21
"El Ashram, Fatima",Womens Tennis,2020,So.,N/A,"Zamalek, Cairo, Egypt",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2020-21
"Ho, Valerie",Womens Tennis,2020,Jr.,N/A,"Silver Spring, Md.",N/A,5-5,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2020-21
"Huang, Ashley",Womens Tennis,2020,So.,N/A,"Wexford, Pa.",N/A,5-10,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2020-21
"Nguyen, Katherine",Womens Tennis,2020,Jr.,N/A,"Fountain Valley, Calif.",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2020-21
"Polnet, Megan",Womens Tennis,2020,So.,N/A,"Churchville, Pa.",N/A,5-11,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2020-21
"Pryce, Khary",Womens Tennis,2020,Jr.,N/A,"Ellicott City, Md.",N/A,6-0,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2020-21
"Stein, Lauren",Womens Tennis,2020,Fr.,N/A,"Paradise Valley, Ariz.",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2020-21
"Wong, Jenny",Womens Tennis,2020,Fr.,N/A,Hong Kong,N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2020-21
"Adiaconitei, Maria",Womens Tennis,2021,Sr.,N/A,"Bethesda, Md.",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2021-22
"Balog, Seychelle",Womens Tennis,2021,Fr.,N/A,"Laguna Niguel, Calif.",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2021-22
"Campbell, Sarah",Womens Tennis,2021,Sr.,N/A,"Sudbury, Mass.",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2021-22
"El Ashram, Fatima",Womens Tennis,2021,Jr.,N/A,"Zamalek, Cairo, Egypt",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2021-22
"Ho, Valerie",Womens Tennis,2021,Sr.,N/A,"Silver Spring, Md.",N/A,5-5,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2021-22
"Huang, Ashley",Womens Tennis,2021,Jr.,N/A,"Wexford, Pa.",N/A,5-10,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2021-22
"Mi, Lan",Womens Tennis,2021,Fr.,N/A,"Berkeley Heights, N.J.",N/A,5-7,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2021-22
"Nguyen, Katherine",Womens Tennis,2021,Sr.,N/A,"Fountain Valley, Calif.",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2021-22
"Pryce, Khary",Womens Tennis,2021,Sr.,N/A,"Ellicott City, Md.",N/A,6-0,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2021-22
"Savu, Alexandra",Womens Tennis,2021,Fr.,N/A,"Naperville, Ill.",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2021-22
"Stein, Lauren",Womens Tennis,2021,So.,N/A,"Paradise Valley, Ariz.",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2021-22
"Wong, Jenny",Womens Tennis,2021,So.,N/A,Hong Kong,N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2021-22
"Baker, Emma",Womens Tennis,2022,Fr.,N/A,"Chicago, Ill.",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2022-23
"Balog, Seychelle",Womens Tennis,2022,So.,N/A,"Laguna Niguel, Calif.",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2022-23
"El Ashram, Fatima",Womens Tennis,2022,Sr.,N/A,"Zamalek, Cairo, Egypt",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2022-23
"Fan, Tanya",Womens Tennis,2022,Fr.,N/A,"Ames, Iowa",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2022-23
"Graziano, Gia",Womens Tennis,2022,Fr.,N/A,"Warren, N.J.",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2022-23
"Huang, Ashley",Womens Tennis,2022,Sr.,N/A,"Wexford, Pa.",N/A,5-10,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2022-23
"Iantosca, Sofia",Womens Tennis,2022,Fr.,N/A,"New York, N.Y.",N/A,5-10,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2022-23
"Mi, Lan",Womens Tennis,2022,So.,N/A,"Berkeley Heights, N.J.",N/A,5-7,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2022-23
"Savu, Alexandra",Womens Tennis,2022,So.,N/A,"Naperville, Ill.",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2022-23
"Stein, Lauren",Womens Tennis,2022,Jr.,N/A,"Paradise Valley, Ariz.",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2022-23
"Baker, Emma",Womens Tennis,2023,So.,N/A,"Chicago, Ill.",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2023-24
"Balog, Seychelle",Womens Tennis,2023,Jr.,N/A,"Laguna Niguel, Calif.",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2023-24
"Fan, Tanya",Womens Tennis,2023,So.,N/A,"Ames, Iowa",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2023-24
"Graziano, Gia",Womens Tennis,2023,So.,N/A,"Warren, N.J.",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2023-24
"Marica, Martina",Womens Tennis,2023,Fr.,N/A,"San Jose, Calif.",N/A,5-10,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2023-24
"Ryndin, Michelle",Womens Tennis,2023,Fr.,N/A,"Staten Island, N.Y.",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2023-24
"Savu, Alexandra",Womens Tennis,2023,Jr.,N/A,"Naperville, Ill.",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2023-24
"Stein, Lauren",Womens Tennis,2023,Sr.,N/A,"Paradise Valley, Ariz.",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2023-24
"Wong, Jenny",Womens Tennis,2023,Jr.,N/A,Hong Kong,N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2023-24
"Zhao, Victoria",Womens Tennis,2023,Fr.,N/A,"Houston, Texas",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2023-24
"Baker, Emma",Womens Tennis,2024,Jr.,N/A,"Chicago, Ill.",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2024-25
"Balog, Seychelle",Womens Tennis,2024,Sr.,N/A,"Laguna Niguel, Calif.",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2024-25
"Fan, Tanya",Womens Tennis,2024,Jr.,N/A,"Ames, Iowa",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2024-25
"Graziano, Gia",Womens Tennis,2024,Jr.,N/A,"Warren, N.J.",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2024-25
"Loudon, Sage",Womens Tennis,2024,Fr.,N/A,"New York, N.Y.",N/A,-,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2024-25
"Marica, Martina",Womens Tennis,2024,So.,N/A,"San Jose, Calif.",N/A,5-10,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2024-25
"Martinez De Los Rios, Andrea",Womens Tennis,2024,Fr.,N/A,"Glen Head, N.Y.",N/A,-,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2024-25
"Ryndin, Michelle",Womens Tennis,2024,So.,N/A,"Staten Island, N.Y.",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2024-25
"Savu, Alexandra",Womens Tennis,2024,Sr.,N/A,"Naperville, Ill.",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2024-25
"Wong, Jenny",Womens Tennis,2024,Sr.,N/A,Hong Kong,N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2024-25
"Zhao, Victoria",Womens Tennis,2024,So.,N/A,"Houston, Texas",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2024-25
"Baker, Emma",Womens Tennis,2025,Sr.,N/A,"Chicago, Ill.",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2025
"Fan, Tanya",Womens Tennis,2025,Sr.,N/A,"Ames, Iowa",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2025
"Gelber, Dylan",Womens Tennis,2025,Fr.,N/A,"Montreal, Québec",N/A,5-7,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2025
"Graziano, Gia",Womens Tennis,2025,Sr.,N/A,"Warren, N.J.",N/A,5-6,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2025
"Loudon, Sage",Womens Tennis,2025,So.,N/A,"New York, N.Y.",N/A,-,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2025
"Marica, Martina",Womens Tennis,2025,Jr.,N/A,"San Jose, Calif.",N/A,5-10,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2025
"Martinez De Los Rios, Andrea",Womens Tennis,2025,So.,N/A,"Glen Head, N.Y.",N/A,-,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2025
"Ryndin, Michelle",Womens Tennis,2025,Jr.,N/A,"Staten Island, N.Y.",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2025
"Zhao, Victoria",Womens Tennis,2025,Jr.,N/A,"Houston, Texas",N/A,5-9,N/A,https://cornellbigred.com/sports/womens-tennis/roster/2025
Aeriel Emig,Womens Track And Field,2005,Fr.,MDist,"Albuquerque, NM",Albuquerque Academy,-,N/A,https://cornellbigred.com/sports/womens-track-and-field/roster/2005-06
Alicia Korol,Womens Track And Field,2005,So.,Dist./Stpl. Chase,"Ilion, NY",Ilion HS,-,N/A,https://cornellbigred.com/sports/womens-track-and-field/roster/2005-06
Amanda Wheat,Womens Track And Field,2005,Fr.,MDist,"Monroe, NY",Monroe-Woodbury HS,-,N/A,https://cornellbigred.com/sports/womens-track-and-field/roster/2005-06
Andrea Kavleski,Womens Track And Field,2005,So.,Wts.,"Ferndale, N.Y.",Liberty HS,-,N/A,https://cornellbigred.com/sports/womens-track-and-field/roster/2005-06
Angela Kudla,Womens Track And Field,2005,Sr.,Dist,"Lockport, NY",Starpoint Central HS,-,N/A,https://cornellbigred.com/sports/womens-track-and-field/roster/2005-06
Anjelica Gregory,Womens Track And Field,2005,So.,MDist.,"White Plains, N.Y.",Hackley School,-,N/A,https://cornellbigred.com/sports/womens-track-and-field/roster/2005-06
Ashley Kincaid,Womens Track And Field,2005,Sr.,Wts.,"Lakeland, Fla.",Lake Gibson Senior HS,-,N/A,https://cornellbigred.com/sports/womens-track-and-field/roster/2005-06
Ashley Robinson,Womens Track And Field,2005,Sr.,MDist.,"Dix Hills, N.Y.",Half Hollow Hills HS East,-,N/A,https://cornellbigred.com/sports/womens-track-and-field/roster/2005-06
